Which is your favourite K-Pop group?;Which is your favourite K-Pop group? 2;Is K-Pop popular in your country? ;When did you start listening to K-Pop?;Do you listen to K-Pop male groups more than girl group songs?;How many hours do you spend listening to K-Pop?;Do you watch K-Pop Youtube videos?;If you do watch K-Pop music videos, how long do you spend watching them?;Would you say that you are obsessed with K-Pop?;Has consuming K-Pop affected your personal life in the following ways?;Have you experienced any positive effects after consuming K-Pop? ;How old are you?;Edad;Which country are you from?;What is your gender?
BTS;;Its gaining popularity;1 -2 years ago;Its about the music- not the gender;5;Yes;2;Notsure;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;A country in the UK;Female
BTS;;Its gaining popularity;3-4 years ago;I listen to both;4;Yes;2;Yes;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;15 - 20 years;B;A country in the UK;Female
BTS;MONSTA X;Its gaining popularity;More than 4 years ago;Its about the music- not the gender;4;Yes;2;No;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;15 - 20 years;B;Other European countries;Female
BTS;;Its gaining popularity;3-4 years ago;I listen to both;5;Yes;3;No;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;21 - 26 years;C;USA;Female
BTS;;Yes;3-4 years ago;Yes;5;Yes;2;Notsure;Led to you being cajoled (made fun of) by classmates and family;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
BTS;EXO;Its gaining popularity;More than 4 years ago;Yes;4;Yes;1;No;Led to you being cajoled (made fun of) by classmates and family;Made friends who are like-minded;15 - 20 years;B;USA;Female
BTS;;I'm not sure;3-4 years ago;I listen to both;5;Yes;1;Yes;Reduced the amount of sleep you get;Made friends who are like-minded;10 - 14 years;A;Canada ;Female
BTS;;Yes;More than 4 years ago;I listen to both;4;Yes;1;Yes;Nothing really;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
NCT ;Ateez;Its gaining popularity;3-4 years ago;I listen to both;5;Yes;2;Notsure;Reduced the amount of sleep you get;Made friends who are like-minded;10 - 14 years;A;A country in the UK;Female
BTS;;Yes;More than 4 years ago;I listen to both;24;Yes;1;No;Nope;Reduced stress/anxiety/depression;15 - 20 years;B;USA;Female
